Image,Class,Contrast,Correlation,Energy,Homogeneity,Gabor Mean,Fourier Mean,Entropy Channel B,Entropy Channel S,Entropy Channel V,LBP Mean,LBP Median,LBP Mode,LBP Standard Deviation,LBP IQR,LBP Skewness,LBP Kurtosis,LBP Minimum,LBP Maximum,LBP Entropy,Mean Intensity,Intensity Variation,Mean R,Mean G,Mean B,Mean Brightness,Brightness Variation,Mean Density,Density Variation,Mean Saturation,Typical Hue,Hue Variation,Area,Extent,Aspect Ratio,Major Axis Length,Minor Axis Length,Eccentricity,Convex Area,Equivalent Diameter,Solidity,Perimeter,Circularity,Thickness
Image-134_2024-01-26_grain_0.png,3.Peach_Blossom,0.025534369786186527,0.08123657985454101,0.9473255378991665,0.9872328151069067,695.92175,9.539381760341902e-08,5.95267,5.85803,7.20951,0.03846153846152589,0.023890679024038103,0.0037516585075707187,0.034158827561091364,0.04356237622466697,0.995993579116896,-0.32788731883281264,0.0037516585075707187,0.11785697945734355,1.377819508039033,112.59263,28.383904,140.2588,139.50307,58.016,130.4395,32.632378,0.44153976,0.11130943,0.48195857,33,6.6287065,305053.0,0.7271476926010679,0.881159420289855,678.7340087890625,575.3969116210938,0.5303956529146185,313156,623.2219049745408,0.9741247173932481,2219.3708276748657,0.7782612692455285,214
Image-133_2024-01-26_grain_1.png,3.Peach_Blossom,0.026281888725465333,0.049601643262199874,0.9467552992446084,0.9868590556372673,695.99805,1.242702173816064e-07,5.431966,6.0136185,6.9277563,0.038461538461525495,0.02501306099060451,0.004135699479244271,0.03258944462474469,0.04376021706522279,0.9243347171253016,-0.46849104756829973,0.004135699479244271,0.10903483492589479,1.4672931249660666,102.446785,21.189537,131.1072,126.515854,49.717335,119.13364,24.25804,0.40175208,0.08309622,0.5106837,28,7.208939,295741.0,0.7562934738134206,0.9546875,647.6965942382812,593.1489868164062,0.4016752835177448,301465,613.6359964991638,0.9810127212114176,2207.429702281952,0.762689271175436,208
Image-102_2024-01-26_grain_0.png,3.Peach_Blossom,0.024862148267197057,0.05696262509901269,0.9493920969744121,0.9875689258664014,702.12103,1.2104772221314323e-07,5.5533824,6.038335,6.9724817,0.03846153846152711,0.026688128511393856,0.0041989282847822934,0.03163621077652972,0.040787586752265945,0.9271463275095185,-0.3820240196424529,0.0041989282847822934,0.10811576412819622,1.4791328074296435,104.97137,22.099478,138.84732,126.763306,49.3034,121.546005,25.549334,0.4116524,0.08666462,0.52849764,25,6.705353,337883.0,0.7448985440788719,1.007451564828614,676.5594482421875,651.2412719726562,0.2710046209193698,343832,655.9009049343895,0.9826979455082715,2346.258129954338,0.7713022967397725,230
Image-67_2024-01-26_grain_0.png,3.Peach_Blossom,0.02453189340377593,0.0735798192125599,0.9495896107509434,0.987734053298112,698.2396,6.030861073185095e-08,6.06971,6.0122643,7.2209587,0.038461538461527826,0.02371105787583231,0.003690200222406849,0.03452094438879193,0.04356317324022718,0.9990902841982771,-0.2920155200166765,0.003690200222406849,0.1200476904436207,1.4528385128810961,118.925735,28.952429,144.0278,148.27039,64.47904,137.44965,32.87352,0.4663755,0.113538936,0.45568764,33,7.175199,360457.5,0.7260028278173439,0.9368131868131868,761.6021118164062,609.7718505859375,0.5991409169515078,367607,677.4575582251445,0.9805512408632044,2449.7211129665375,0.7547978247925369,219
Image-97_2024-01-26_grain_1.png,3.Peach_Blossom,0.016442399374337106,0.07884164380850468,0.9659782543584996,0.9917788003128314,693.60785,4.698876021095092e-08,5.8459587,5.7889614,7.066858,0.03846153846152819,0.024215257414789478,0.0037868469825389,0.03297846223160136,0.044932087786471786,0.8615193473443187,-0.6429912227297239,0.0037868469825389,0.10871295272580644,1.5045824644238148,126.10687,25.144043,159.61693,153.82576,64.87791,145.41727,28.92937,0.49453664,0.09860409,0.4837393,28,5.7316456,373403.0,0.7417266558606661,1.0760233918128654,742.0592651367188,646.8190307617188,0.490121474532722,381017,689.5153846889451,0.9800166396774947,2458.7089228630066,0.7761996314997363,236
Image-18_2024-01-26_grain_0.png,3.Peach_Blossom,0.02001895745934163,0.06834119509136896,0.9588944297429606,0.9899905212703293,694.90295,7.115506018774535e-08,6.085223,6.09974,7.3424387,0.038461538461526994,0.02213725665562945,0.003180991563067352,0.03666266437687946,0.04371552932056056,1.1639565344199705,0.2281270245742517,0.003180991563067352,0.13432907014872422,1.3903886285085092,114.23021,31.345877,140.60017,141.5481,60.542397,132.03,36.14952,0.44796163,0.12292501,0.46346304,33,8.422237,334443.5,0.7621323713727081,0.8930099857346647,693.9295043945312,614.0159912109375,0.4658966438515305,339643,652.5539745336276,0.9846912787838996,2304.4418942928314,0.7914092094310754,225
Image-108_2024-01-26_grain_0.png,3.Peach_Blossom,0.021492890029743715,0.07093655944248797,0.9558351227525504,0.989253554985128,695.2439,5.81550846189082e-08,5.936738,6.0205774,7.220661,0.038461538461528694,0.023770758296962707,0.003787166813140075,0.03439704575306571,0.043260316283028295,1.0240865557125485,-0.20329321882875195,0.003787166813140075,0.12153732048419816,1.4528385128810961,120.3403,28.295841,155.39117,145.90283,59.7269,138.91579,32.695316,0.47192276,0.11096408,0.4996801,25,7.0028887,392637.5,0.7664285226285636,1.054519368723099,747.6425170898438,676.614013671875,0.4254185772927226,397461,707.0513360046443,0.9878642181245455,2479.7799896001816,0.8023712103457554,240
Image-29_2024-01-26_grain_0.png,3.Peach_Blossom,0.02574859023361843,0.08455162527124557,0.9467876468085381,0.9871257048831907,682.6171,2.0995915253820757e-07,5.9585185,5.961009,7.0430326,0.038461538461522046,0.021955674674464517,0.0038538194637071552,0.035685798012036335,0.038428298899319105,1.1494426621020204,0.07022204728601,0.0038538194637071552,0.1272272558500266,1.3903886285085092,121.634445,24.364763,156.42088,146.0354,62.446987,139.6116,27.43162,0.47699782,0.09554809,0.4879706,25,6.31421,233297.5,0.6647675140904868,0.9651741293532339,601.6965942382812,517.0292358398438,0.5114960503550431,247651,545.0170664188889,0.9420414211935344,2362.4418947696686,0.5252882395099473,178
Image-139_2024-01-26_grain_0.png,3.Peach_Blossom,0.026079601522484848,0.07577321816933433,0.9463827930086135,0.9869601992387576,693.95917,6.561577048191509e-08,5.941068,5.8350444,7.170495,0.03846153846152845,0.025134306447744087,0.003875625982570387,0.03247260428828834,0.043653499776144564,0.8572997219571438,-0.6451873742749368,0.003875625982570387,0.10558673177229706,1.5045824644238148,116.51888,27.964497,147.92078,144.26558,57.37021,135.45242,32.058372,0.45693675,0.109664716,0.50740457,28,5.7280936,383061.0,0.7188450019141126,0.989100817438692,716.1005859375,692.6997680664062,0.25355151813011795,399863,698.3755531558905,0.9579806083583627,2640.7921797037125,0.6902546669026289,254
Image-97_2024-01-26_grain_0.png,3.Peach_Blossom,0.01507302062812393,0.068633869690806,0.9689704012385645,0.9924634896859379,692.9189,2.0239255663551647e-07,5.5517836,5.9630527,6.9599886,0.038461538461525974,0.02649116257931719,0.004671092139644338,0.03185485967906995,0.042970639313118016,0.921872722541802,-0.41220572678204137,0.004671092139644338,0.11104474705009948,1.5045824644238148,99.36274,25.539787,131.91527,119.05847,47.11448,114.70105,28.810614,0.38965788,0.10015603,0.5280329,24,5.8948827,307105.0,0.7471850244272729,0.9322289156626506,657.127197265625,610.81689453125,0.368756275598974,312760,625.3145051779081,0.9819190433559278,2236.94442486763,0.7712343462564887,214
